Ingredient,Function,Group
polymethacrylic acid crosspolymer,absorbent,Cleansing and Purifying
peg-5 pentaerythrityl dimethylol propionate-2 dendrimer,absorbent,Cleansing and Purifying
dvb/isobornyl methacrylate/lauryl methacrylate copolymer,absorbent,Cleansing and Purifying
pisum sativum starch,absorbent,Cleansing and Purifying
aluminum silicate,absorbent,Cleansing and Purifying
helichrysum italicum leaf cell extract,absorbent,Cleansing and Purifying
sodium naphthol sulfonate,absorbent,Cleansing and Purifying
ammonium silver zeolite,absorbent,Cleansing and Purifying
perfluoroheptane,absorbent,Cleansing and Purifying
carnauba acid wax,absorbent,Cleansing and Purifying
peg-5 pentaerythrityl dimethylol propionate-4 dendrimer,absorbent,Cleansing and Purifying
linum usitatissimum seed flour,absorbent,Cleansing and Purifying
perfluoromethylcyclohexane,absorbent,Cleansing and Purifying
titanium zeolite,absorbent,Cleansing and Purifying
illite,absorbent,Cleansing and Purifying
glyceryl starch,absorbent,Cleansing and Purifying
sodium humate,absorbent,Cleansing and Purifying
cellulose,absorbent,Cleansing and Purifying
phonolite,absorbent,Cleansing and Purifying
silt,absorbent,Cleansing and Purifying
peg-5 pentaerythrityl dimethylol propionate-3 dendrimer,absorbent,Cleansing and Purifying
citrus aurantium dulcis peel powder,absorbent,Cleansing and Purifying
avena sativa bran,absorbent,Cleansing and Purifying
activated clay,absorbent,Cleansing and Purifying
acrylonitrile/glycol dimethacrylate crosspolymer,absorbent,Cleansing and Purifying
maltodextrin,absorbent,Cleansing and Purifying
malpighia emarginata fruit powder,absorbent,Cleansing and Purifying
colloidal oatmeal,absorbent,Cleansing and Purifying
zeolite,absorbent,Cleansing and Purifying
attapulgite,absorbent,Cleansing and Purifying
calcium starch octenylsuccinate,absorbent,Cleansing and Purifying
phaseolus angularis seed starch,absorbent,Cleansing and Purifying
gossypium herbaceum powder,absorbent,Cleansing and Purifying
hedta,absorbent,Cleansing and Purifying
nylon 6/12,absorbent,Cleansing and Purifying
zinc zeolite,absorbent,Cleansing and Purifying
himanthalia elongata powder,absorbent,Cleansing and Purifying
tapioca starch crosspolymer,absorbent,Cleansing and Purifying
acrylonitrile/methacrylonitrile/methyl methacrylate copolymer,absorbent,Cleansing and Purifying
avena sativa kernel meal,absorbent,Cleansing and Purifying
butyl acrylate/glycol dimethacrylate crosspolymer,absorbent,Cleansing and Purifying
aluminum starch octenylsuccinate,absorbent,Cleansing and Purifying
silver copper zeolite,absorbent,Cleansing and Purifying
sodium acrylates crosspolymer-2,absorbent,Cleansing and Purifying
aluminum magnesium oxide,absorbent,Cleansing and Purifying
pyrophyllite,absorbent,Cleansing and Purifying
solanum tuberosum starch,absorbent,Cleansing and Purifying
hectorite,absorbent,Cleansing and Purifying
loess,absorbent,Cleansing and Purifying
alumina,absorbent,Cleansing and Purifying
styrene/stearyl methacrylate crosspolymer,absorbent,Cleansing and Purifying
aphanothece sacrum polysaccharide,absorbent,Cleansing and Purifying
calamine,absorbent,Cleansing and Purifying
magnesium carbonate,absorbent,Cleansing and Purifying
corn starch modified,absorbent,Cleansing and Purifying
oryza sativa extract,absorbent,Cleansing and Purifying
magnesium aluminum silicate,absorbent,Cleansing and Purifying
zea mays seed flour,absorbent,Cleansing and Purifying
polygonum fagopyrum callus culture extract,absorbent,Cleansing and Purifying
pegmatite,absorbent,Cleansing and Purifying
calcium magnesium silicate,absorbent,Cleansing and Purifying
salt mine mud,absorbent,Cleansing and Purifying
panicum miliaceum seed flour,absorbent,Cleansing and Purifying
potassium acrylate crosspolymer,absorbent,Cleansing and Purifying
zinc hydroxide,absorbent,Cleansing and Purifying
sasa senanensis leaf extract,absorbent,Cleansing and Purifying
magnesium hydroxide,absorbent,Cleansing and Purifying
avena sativa kernel flour,absorbent,Cleansing and Purifying
perlite,absorbent,Cleansing and Purifying
silica dimethicone silylate,absorbent,Cleansing and Purifying
dextrin,absorbent,Cleansing and Purifying
undaria pinnatifida powder,absorbent,Cleansing and Purifying
microcrystalline cellulose,absorbent,Cleansing and Purifying
bismuth subnitrate,absorbent,Cleansing and Purifying
pueraria lobata starch,absorbent,Cleansing and Purifying
distarch phosphate,absorbent,Cleansing and Purifying
magnesium aluminometasilicate,absorbent,Cleansing and Purifying
aphanothece sacrum exopolysaccharides,absorbent,Cleansing and Purifying
halloysite,absorbent,Cleansing and Purifying
salix alba bark powder,absorbent,Cleansing and Purifying
curcubiturils,absorbent,Cleansing and Purifying
"peg-400/1,4-butanediol/smdi copolymer",absorbent,Cleansing and Purifying
cereus grandiflorus seed powder,absorbent,Cleansing and Purifying
oligopeptide-114 acetate,absorbent,Cleansing and Purifying
ammonium oleoyl/palmitoyl glycerophosphoethylamido glutaroyl oligopeptide-114,absorbent,Cleansing and Purifying
tapioca starch polymethylsilsesquioxane,absorbent,Cleansing and Purifying
dimethicone/phenyl silsesquioxane/phenyl bis-silsesquioxane crosspolymer,absorbent,Cleansing and Purifying
prunus mume seed powder,absorbent,Cleansing and Purifying
tulipa gesneriana callus culture extract,absorbent,Cleansing and Purifying
