Ingredient,Function,Group
carnauba acid wax,absorbent,Oil and Sebum Control
peg-5 pentaerythrityl dimethylol propionate-4 dendrimer,absorbent,Oil and Sebum Control
linum usitatissimum seed flour,absorbent,Oil and Sebum Control
perfluoromethylcyclohexane,absorbent,Oil and Sebum Control
titanium zeolite,absorbent,Oil and Sebum Control
illite,absorbent,Oil and Sebum Control
glyceryl starch,absorbent,Oil and Sebum Control
sodium humate,absorbent,Oil and Sebum Control
cellulose,absorbent,Oil and Sebum Control
phonolite,absorbent,Oil and Sebum Control
silt,absorbent,Oil and Sebum Control
peg-5 pentaerythrityl dimethylol propionate-3 dendrimer,absorbent,Oil and Sebum Control
citrus aurantium dulcis peel powder,absorbent,Oil and Sebum Control
avena sativa bran,absorbent,Oil and Sebum Control
activated clay,absorbent,Oil and Sebum Control
acrylonitrile/glycol dimethacrylate crosspolymer,absorbent,Oil and Sebum Control
maltodextrin,absorbent,Oil and Sebum Control
malpighia emarginata fruit powder,absorbent,Oil and Sebum Control
colloidal oatmeal,absorbent,Oil and Sebum Control
zeolite,absorbent,Oil and Sebum Control
attapulgite,absorbent,Oil and Sebum Control
calcium starch octenylsuccinate,absorbent,Oil and Sebum Control
phaseolus angularis seed starch,absorbent,Oil and Sebum Control
gossypium herbaceum powder,absorbent,Oil and Sebum Control
hedta,absorbent,Oil and Sebum Control
nylon 6/12,absorbent,Oil and Sebum Control
zinc zeolite,absorbent,Oil and Sebum Control
himanthalia elongata powder,absorbent,Oil and Sebum Control
tapioca starch crosspolymer,absorbent,Oil and Sebum Control
acrylonitrile/methacrylonitrile/methyl methacrylate copolymer,absorbent,Oil and Sebum Control
avena sativa kernel meal,absorbent,Oil and Sebum Control
butyl acrylate/glycol dimethacrylate crosspolymer,absorbent,Oil and Sebum Control
aluminum starch octenylsuccinate,absorbent,Oil and Sebum Control
silver copper zeolite,absorbent,Oil and Sebum Control
sodium acrylates crosspolymer-2,absorbent,Oil and Sebum Control
aluminum magnesium oxide,absorbent,Oil and Sebum Control
pyrophyllite,absorbent,Oil and Sebum Control
solanum tuberosum starch,absorbent,Oil and Sebum Control
hectorite,absorbent,Oil and Sebum Control
loess,absorbent,Oil and Sebum Control
alumina,absorbent,Oil and Sebum Control
styrene/stearyl methacrylate crosspolymer,absorbent,Oil and Sebum Control
aphanothece sacrum polysaccharide,absorbent,Oil and Sebum Control
calamine,absorbent,Oil and Sebum Control
magnesium carbonate,absorbent,Oil and Sebum Control
corn starch modified,absorbent,Oil and Sebum Control
oryza sativa extract,absorbent,Oil and Sebum Control
magnesium aluminum silicate,absorbent,Oil and Sebum Control
zea mays seed flour,absorbent,Oil and Sebum Control
polygonum fagopyrum callus culture extract,absorbent,Oil and Sebum Control
pegmatite,absorbent,Oil and Sebum Control
calcium magnesium silicate,absorbent,Oil and Sebum Control
salt mine mud,absorbent,Oil and Sebum Control
panicum miliaceum seed flour,absorbent,Oil and Sebum Control
potassium acrylate crosspolymer,absorbent,Oil and Sebum Control
zinc hydroxide,absorbent,Oil and Sebum Control
